Date, Open, High, Low, Close
05/28/21, 1590.44, 1595.45, 1579.53, 1581.98
05/27/21, 1570.50, 1587.54, 1568.89, 1582.96
05/25/21, 1562.89, 1572.03, 1560.13, 1568.58
05/24/21, 1555.23, 1559.60, 1547.14, 1551.85
05/21/21, 1559.82, 1560.51, 1546.55, 1552.44
05/20/21, 1565.39, 1568.72, 1554.54, 1554.54
05/19/21, 1561.97, 1570.05, 1557.83, 1562.24
05/18/21, 1559.93, 1570.37, 1558.85, 1566.80
05/17/21, 1542.23, 1554.08, 1529.69, 1549.16
05/14/21, 1555.72, 1558.86, 1532.29, 1549.48
05/13/21, 1554.10, 1561.80, 1501.02, 1548.13
05/12/21, 1576.66, 1578.34, 1557.94, 1571.85
05/11/21, 1579.25, 1590.54, 1566.91, 1578.93
05/10/21, 1596.61, 1596.80, 1576.79, 1588.15
05/07/21, 1582.25, 1589.21, 1577.19, 1585.03
05/06/21, 1553.27, 1575.37, 1551.42, 1571.91
05/05/21, 1581.86, 1583.27, 1547.35, 1549.22
04/30/21, 1591.12, 1593.23, 1580.74, 1583.13
04/29/21, 1584.55, 1592.90, 1583.98, 1590.46
04/28/21, 1565.70, 1578.62, 1562.84, 1576.79
04/27/21, 1564.06, 1570.58, 1553.03, 1559.23
04/26/21, 1552.05, 1561.52, 1544.10, 1559.53
04/23/21, 1563.46, 1564.62, 1550.62, 1553.59
04/22/21, 1585.91, 1587.95, 1564.83, 1568.21
04/21/21, 1576.19, 1584.57, 1575.56, 1580.01
04/20/21, 1574.38, 1582.49, 1570.53, 1580.04
04/19/21, 1555.01, 1574.97, 1552.91, 1574.91
04/16/21, 1543.59, 1550.26, 1529.29, 1548.96
04/12/21, 1561.53, 1562.07, 1539.24, 1541.12
04/09/21, 1562.20, 1572.13, 1561.76, 1566.34
04/08/21, 1554.64, 1564.05, 1552.18, 1558.83
04/07/21, 1566.11, 1570.69, 1555.57, 1556.56
04/05/21, 1599.33, 1601.24, 1575.56, 1579.66
04/02/21, 1603.24, 1606.41, 1595.31, 1596.27
04/01/21, 1594.01, 1600.60, 1590.33, 1595.12
03/31/21, 1592.26, 1593.93, 1585.58, 1587.21
03/30/21, 1589.68, 1593.52, 1585.06, 1589.53
03/29/21, 1582.73, 1592.47, 1580.90, 1583.89
03/26/21, 1577.47, 1580.74, 1566.89, 1574.86
03/25/21, 1576.27, 1580.17, 1571.04, 1571.04
03/24/21, 1557.50, 1570.84, 1555.72, 1570.83
03/23/21, 1572.70, 1574.14, 1562.03, 1564.25
03/22/21, 1563.56, 1571.74, 1555.38, 1566.36
03/19/21, 1562.30, 1566.67, 1554.96, 1563.96
03/18/21, 1579.72, 1583.30, 1567.67, 1568.82
03/17/21, 1562.92, 1571.53, 1559.22, 1566.76
03/16/21, 1569.01, 1573.13, 1562.35, 1564.03
03/15/21, 1573.11, 1575.96, 1562.69, 1565.73
03/12/21, 1579.71, 1584.40, 1562.90, 1568.19
03/11/21, 1582.69, 1584.61, 1569.87, 1575.13
03/10/21, 1553.27, 1573.55, 1550.45, 1573.05
03/09/21, 1553.00, 1554.96, 1537.23, 1550.59
03/08/21, 1559.17, 1562.56, 1540.64, 1543.76
03/05/21, 1531.05, 1553.92, 1529.83, 1544.11
03/04/21, 1535.76, 1540.66, 1527.88, 1534.11
03/03/21, 1510.27, 1543.48, 1510.07, 1543.40
03/02/21, 1503.91, 1509.65, 1500.80, 1503.36
03/01/21, 1493.55, 1505.61, 1487.99, 1500.92
02/25/21, 1508.82, 1511.30, 1494.36, 1496.78
02/24/21, 1503.56, 1507.78, 1485.94, 1491.11
02/23/21, 1487.53, 1506.94, 1486.18, 1500.61
02/22/21, 1504.65, 1505.47, 1476.50, 1478.14
02/19/21, 1504.98, 1507.63, 1493.52, 1500.51
02/18/21, 1519.79, 1524.11, 1510.77, 1511.03
02/17/21, 1519.74, 1528.58, 1513.96, 1514.91
02/16/21, 1528.43, 1531.29, 1522.41, 1523.11
02/15/21, 1515.91, 1529.98, 1513.33, 1522.72
02/11/21, 1520.68, 1521.31, 1503.19, 1508.35
02/10/21, 1526.34, 1527.88, 1513.13, 1516.94
02/09/21, 1524.58, 1529.49, 1516.50, 1518.27
02/08/21, 1508.45, 1517.31, 1507.09, 1516.43
02/05/21, 1491.07, 1498.35, 1488.73, 1496.61
02/04/21, 1486.50, 1492.39, 1477.88, 1482.98
02/03/21, 1498.50, 1500.17, 1481.69, 1481.75
02/02/21, 1491.02, 1496.46, 1480.50, 1486.25
02/01/21, 1465.76, 1481.66, 1456.45, 1478.05
01/29/21, 1478.76, 1480.44, 1455.55, 1466.98
01/28/21, 1482.50, 1492.00, 1467.74, 1468.51
01/27/21, 1510.68, 1515.32, 1498.05, 1498.13
01/26/21, 1497.03, 1514.82, 1490.37, 1512.83
01/25/21, 1498.36, 1505.47, 1491.63, 1501.62
01/22/21, 1508.92, 1518.05, 1494.45, 1497.88
01/21/21, 1525.63, 1529.27, 1510.80, 1513.51
01/20/21, 1524.91, 1529.50, 1511.41, 1515.72
01/19/21, 1519.37, 1529.17, 1518.66, 1522.59
01/18/21, 1511.04, 1515.51, 1503.04, 1510.13
01/15/21, 1537.03, 1544.11, 1513.48, 1519.13
01/14/21, 1545.35, 1552.78, 1533.52, 1535.98
01/13/21, 1548.30, 1561.66, 1542.42, 1547.31
01/12/21, 1536.75, 1542.65, 1528.50, 1539.85
01/11/21, 1539.79, 1550.75, 1527.75, 1536.49
01/08/21, 1528.12, 1538.61, 1521.17, 1536.44
01/07/21, 1510.64, 1519.91, 1502.81, 1513.78
01/06/21, 1506.56, 1514.89, 1485.79, 1492.36
01/05/21, 1467.89, 1506.66, 1466.05, 1506.65
01/04/21, 1428.80, 1468.27, 1425.48, 1468.24
12/30/20, 1467.74, 1479.04, 1445.36, 1449.35
12/29/20, 1452.39, 1468.60, 1440.59, 1461.95
12/28/20, 1505.15, 1512.99, 1452.48, 1452.67
12/25/20, 1463.32, 1486.84, 1462.77, 1486.31
12/24/20, 1420.60, 1453.87, 1409.75, 1451.52
12/23/20, 1422.59, 1440.52, 1414.21, 1416.02
12/22/20, 1405.42, 1428.11, 1388.23, 1424.39
12/21/20, 1429.50, 1453.88, 1401.58, 1401.78
12/18/20, 1485.27, 1489.78, 1475.01, 1482.38
12/17/20, 1487.70, 1495.37, 1483.32, 1483.89
12/16/20, 1487.28, 1488.86, 1475.09, 1482.09
12/15/20, 1468.22, 1478.61, 1459.97, 1477.21
12/14/20, 1491.87, 1495.18, 1471.56, 1476.13
12/09/20, 1490.77, 1503.89, 1474.83, 1482.67
12/08/20, 1448.08, 1484.73, 1442.65, 1478.92
12/04/20, 1439.82, 1454.94, 1439.14, 1449.83
12/03/20, 1424.16, 1439.22, 1420.69, 1438.32
12/02/20, 1416.58, 1430.49, 1415.10, 1417.95
12/01/20, 1418.06, 1430.03, 1416.39, 1420.87
11/30/20, 1429.99, 1435.04, 1408.02, 1408.31
11/27/20, 1431.26, 1444.53, 1429.43, 1437.78
11/26/20, 1420.96, 1433.57, 1416.79, 1433.56
11/25/20, 1416.84, 1428.36, 1392.42, 1415.72
11/24/20, 1429.44, 1432.56, 1401.29, 1401.63
11/23/20, 1397.53, 1422.43, 1395.58, 1420.43
11/20/20, 1369.96, 1390.37, 1368.20, 1389.34
11/19/20, 1363.58, 1375.02, 1362.41, 1369.42
11/18/20, 1345.76, 1364.64, 1341.46, 1364.59
11/17/20, 1356.41, 1365.91, 1344.55, 1349.81
11/16/20, 1360.94, 1365.87, 1351.04, 1351.06
11/13/20, 1330.49, 1352.51, 1327.73, 1346.47
11/12/20, 1340.43, 1341.57, 1327.17, 1336.31
11/11/20, 1353.65, 1356.83, 1331.39, 1345.34
11/10/20, 1330.14, 1346.72, 1313.04, 1341.24
11/09/20, 1281.41, 1293.90, 1277.52, 1285.88
11/06/20, 1265.84, 1270.22, 1251.08, 1260.08
11/05/20, 1234.61, 1266.58, 1232.72, 1264.32
11/04/20, 1223.67, 1231.05, 1214.49, 1222.44
11/03/20, 1210.06, 1222.78, 1209.90, 1221.33
11/02/20, 1196.64, 1202.55, 1191.44, 1202.16
10/30/20, 1204.05, 1204.99, 1187.49, 1194.95
10/29/20, 1200.43, 1206.84, 1195.99, 1201.64
10/28/20, 1207.42, 1217.88, 1205.88, 1207.94
10/27/20, 1201.45, 1212.03, 1197.74, 1208.95
10/26/20, 1212.49, 1215.79, 1205.81, 1207.97
10/22/20, 1214.63, 1223.48, 1204.73, 1213.61
10/21/20, 1217.10, 1222.62, 1211.85, 1216.48
10/20/20, 1205.33, 1219.16, 1202.03, 1210.67
10/19/20, 1221.88, 1223.15, 1205.61, 1208.75
10/16/20, 1245.40, 1247.89, 1226.95, 1233.68
10/15/20, 1255.05, 1258.09, 1240.75, 1242.96
10/14/20, 1269.49, 1271.10, 1257.84, 1263.99
10/12/20, 1269.50, 1277.64, 1265.27, 1273.43
10/09/20, 1279.79, 1280.81, 1264.24, 1267.14
10/08/20, 1269.85, 1282.65, 1269.50, 1274.83
10/07/20, 1248.25, 1264.29, 1245.09, 1263.71
10/06/20, 1251.89, 1257.46, 1249.14, 1250.15
10/05/20, 1245.79, 1248.67, 1239.06, 1242.99
10/02/20, 1245.11, 1246.78, 1231.11, 1237.54
10/01/20, 1244.23, 1251.11, 1232.81, 1247.59
09/30/20, 1259.08, 1260.06, 1236.53, 1237.04
09/29/20, 1266.77, 1267.67, 1254.34, 1257.34
09/28/20, 1251.23, 1264.50, 1251.12, 1263.02
09/25/20, 1251.67, 1256.40, 1241.66, 1244.94
09/24/20, 1255.79, 1260.31, 1241.52, 1247.46
09/23/20, 1271.19, 1272.59, 1260.64, 1264.01
09/22/20, 1271.36, 1275.27, 1262.41, 1267.63
09/21/20, 1293.77, 1295.35, 1273.44, 1275.16
09/18/20, 1287.74, 1293.29, 1280.43, 1288.39
09/17/20, 1289.60, 1292.42, 1280.11, 1284.40
09/16/20, 1287.01, 1295.80, 1284.09, 1293.48
09/15/20, 1276.93, 1287.04, 1274.62, 1286.18
09/14/20, 1285.16, 1287.35, 1270.59, 1272.34
09/11/20, 1290.16, 1296.13, 1279.33, 1279.96
09/10/20, 1295.01, 1298.33, 1286.15, 1290.89
09/09/20, 1279.24, 1295.55, 1276.38, 1293.40
09/08/20, 1305.64, 1305.85, 1293.33, 1293.80
09/04/20, 1311.95, 1322.66, 1308.84, 1311.95
09/03/20, 1320.63, 1322.66, 1308.84, 1311.95
09/02/20, 1304.70, 1316.08, 1301.78, 1315.88
09/01/20, 1312.75, 1316.68, 1301.14, 1305.57
08/31/20, 1328.70, 1333.30, 1308.73, 1310.66
08/28/20, 1335.30, 1337.61, 1319.45, 1323.31
08/27/20, 1322.48, 1331.64, 1320.91, 1326.81
08/26/20, 1317.74, 1323.97, 1311.14, 1322.55
08/25/20, 1324.81, 1327.42, 1315.13, 1315.99
08/24/20, 1305.22, 1318.20, 1299.05, 1317.11
08/21/20, 1305.82, 1307.64, 1296.68, 1299.26
08/20/20, 1296.37, 1303.72, 1292.59, 1296.79
08/19/20, 1331.54, 1332.79, 1301.97, 1308.67
08/18/20, 1321.38, 1330.40, 1321.07, 1330.11
08/17/20, 1329.82, 1331.80, 1315.89, 1320.91
08/14/20, 1345.56, 1347.63, 1324.97, 1327.05
08/13/20, 1349.08, 1353.53, 1343.09, 1346.69
08/11/20, 1334.10, 1343.16, 1332.24, 1336.84
08/10/20, 1327.16, 1330.17, 1321.90, 1322.01
08/07/20, 1331.92, 1333.21, 1321.16, 1324.40
08/06/20, 1336.13, 1346.49, 1333.18, 1333.22
08/05/20, 1335.52, 1341.23, 1326.07, 1337.35
08/04/20, 1330.60, 1338.08, 1328.13, 1330.81
08/03/20, 1324.46, 1325.31, 1311.25, 1321.23
07/31/20, 1314.99, 1328.64, 1303.25, 1328.53
07/30/20, 1345.09, 1347.45, 1313.10, 1315.74
07/29/20, 1346.60, 1349.91, 1337.03, 1338.35
07/24/20, 1348.81, 1350.93, 1337.21, 1340.92
07/23/20, 1356.97, 1363.90, 1348.92, 1359.65
07/22/20, 1380.97, 1382.29, 1356.86, 1357.04
07/21/20, 1366.83, 1379.15, 1366.59, 1377.00
07/20/20, 1358.62, 1365.71, 1352.03, 1358.29
